id;fecha;tipo;accion;que;plataforma_pago;cantidad;detalle1;detalle2;created_at;updated_at
1;2021-01-02T00:00:00-02:00;QFI;Gasto;Hosting;any;17.73;VirginDomain. Por subnormal;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
2;2021-01-06T00:00:00-02:00;QFI;Gasto;Pádel;any;8.25;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
3;2021-01-07T00:00:00-02:00;Comida;Gasto;Restaurante;any;17.5;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
4;2021-01-14T00:00:00-02:00;Otros Gastos;Gasto;Inst.Balear;any;6;Carnet jove;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
5;2021-01-15T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;5;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
6;2021-01-15T00:00:00-02:00;Tools;Gasto;Skrill Card;any;10;Por subnormal. No es necesaria;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
7;2021-01-16T00:00:00-02:00;QFI;Gasto;Curso;any;2.54;Amazon FBA Brock Por subnormal;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
8;2021-01-22T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
9;2021-01-22T00:00:00-02:00;Tools;Gasto;Portátil HP;any;100;Deuda Amadeo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
10;2021-01-23T00:00:00-02:00;Formación;Gasto;Curso;any;79.39;Excel A2 Captación;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
11;2021-01-31T00:00:00-02:00;Cripto W;Ingreso;Cashback;any;141.09;Paysafe + verse;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
12;2021-02-02T00:00:00-02:00;Tools;Gasto;Seguro HP;any;50.01;seguro portátil 1º pago;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
13;2021-02-06T00:00:00-02:00;Hobby;Gasto;Muay Thai;any;136.98;Saco;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
14;2021-02-20T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
15;2021-02-22T00:00:00-02:00;Tools;Gasto;Portátil HP;any;100;Deuda Amadeo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
16;2021-02-23T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
17;2021-02-27T00:00:00-02:00;Otros Gastos;Gasto;Muestras MB;any;55.69;Camisetas MB ;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
18;2021-02-28T00:00:00-02:00;Cripto W;Ingreso;Cashback;any;180.12;Paysafe + verse;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
19;2021-03-01T00:00:00-02:00;Cripto D;Inversión;Binance;any;100;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
20;2021-03-02T00:00:00-02:00;Tools;Gasto;Seguro HP;any;49.99;seguro portátil último pago;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
21;2021-03-02T00:00:00-02:00;Empleo;Ingreso;EFIWATT;any;542.12;65% de días de febrero;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
22;2021-03-04T00:00:00-02:00;Cripto D;Inversión;Binance;any;100;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
23;2021-03-09T00:00:00-02:00;Tools;Gasto;Dominio;any;28.58;mascrypto.website por subnormal;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
24;2021-03-11T00:00:00-02:00;Viajes/ Transporte;Gasto;Avión;any;11.82;BCN Carlos;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
25;2021-03-13T00:00:00-02:00;Cripto W;Ingreso;Reembolso;any;18.99;Saco;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
26;2021-03-15T00:00:00-02:00;Cripto D;Inversión;Binance;any;100;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
27;2021-03-18T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
